기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",13589996.6,87799215,39682021.7,60769926,27029288
"2026-05","01","살아 있는 동물",5.2,817,92.1,4476,-3660
"2026-05","02","육과 식용 설육(屑肉)",2862.8,4830,116129.3,630357,-625527
"2026-05","03","어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생(水生) 무척추동물",59012.3,200723,102335.6,429854,-229131
"2026-05","04","낙농품, 새의 알, 천연꿀, 다른 류로 분류되지 않은 식용인 동물성 생산품",2065.1,5542,34711.5,133281,-127739
"2026-05","05","다른 류로 분류되지 않은 동물성 생산품",2034.3,9108,3698.0,15553,-6445
"2026-05","06","살아 있는 수목과 그 밖의 식물, 인경(鱗莖)ㆍ뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎",67.4,354,6430.5,12172,-11818
"2026-05","07","식용의 채소ㆍ뿌리ㆍ괴경(塊莖)",4774.6,9553,60791.3,52018,-42465
"2026-05","08","식용의 과실과 견과류, 감귤류ㆍ멜론의 껍질",781.3,5468,74678.5,180522,-175054
"2026-05","09","커피ㆍ차ㆍ마테(maté)ㆍ향신료",383.8,2820,15981.7,133838,-131019
"2026-05","10","곡물",49446.6,17311,1323281.7,362838,-345527
"2026-05","11","제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)",5638.1,3759,27171.2,22176,-18417
"2026-05","12","채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용ㆍ의약용 식물, 짚과 사료용 식물",2360.7,45267,281347.8,145195,-99928
"2026-05","13","락(lac), 검ㆍ수지ㆍ그 밖의 식물성 수액과 추출물(extract)",352.8,8818,8439.1,32271,-23453
"2026-05","14","식물성 편조물(編組物)용 재료와 다른 류로 분류되지 않은 식물성 생산품",10.1,21,15856.8,5865,-5844
"2026-05","15","동물성ㆍ식물성ㆍ미생물성 지방과 기름 및이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",41513.5,47894,145953.6,221287,-173393
"2026-05","16","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품",4457.7,30545,14785.9,79116,-48571
"2026-05","17","당류(糖類)와 설탕과자",24206.3,21252,173572.2,94056,-72804
"2026-05","18","코코아와 그 조제품",1618.6,6180,5704.2,45780,-39600
"2026-05","19","곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품",60281.8,253538,28139.9,88060,165478
"2026-05","20","채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품",8867.2,77130,94522.9,133562,-56432
"2026-05","21","각종 조제 식료품",35166.6,145062,32506.6,246139,-101076
"2026-05","22","음료ㆍ주류ㆍ식초",78349.7,88100,73215.1,112367,-24268
"2026-05","23","식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",23563.3,29517,450300.5,160485,-130968
"2026-05","24","담배와 제조한 담배 대용물, 연소시키지 않고흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",6904.7,67583,4948.4,36162,31421
"2026-05","25","소금, 황, 토석류(土石類), 석고ㆍ석회ㆍ시멘트",354003.1,53508,728988.9,65897,-12389
"2026-05","26","광(鑛)ㆍ슬래그(slag)ㆍ회(灰)",167624.2,62768,5323616.5,1984099,-1921331
"2026-05","27","광물성 연료ㆍ광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",4428535.4,5497696,23982681.0,14365849,-8868153
"2026-05","28","무기화학품, 귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의 유기화합물이나 무기화합물",417748.2,971212,301238.7,911095,60118
"2026-05","29","유기화학품",1074746.8,1548900,850268.2,1630241,-81340
"2026-05","30","의료용품",2404.2,834307,6879.2,1103124,-268817
"2026-05","31","비료",63215.7,33297,126502.2,87202,-53905
"2026-05","32","유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",28633.0,231403,27648.9,191873,39530
"2026-05","33","정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",46674.6,1146473,8752.8,183053,963420
"2026-05","34","비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품",40234.4,164255,28395.9,103323,60931
"2026-05","35","단백질계 물질, 변성전분, 글루(glue), 효소",7174.1,78582,17430.4,86511,-7929
"2026-05","36","화약류, 화공품, 성냥, 발화성 합금, 특정 가연성 조제품",286.5,8798,150.1,1846,6952
"2026-05","37","사진용이나 영화용 재료",1549.5,87791,3108.1,93610,-5819
"2026-05","38","각종 화학공업 생산품",133292.7,680217,174096.4,815400,-135183
"2026-05","39","플라스틱과 그 제품",1161962.3,2965711,344475.3,1262145,1703566
"2026-05","40","고무와 그 제품",214995.3,730886,83892.3,270524,460362
"2026-05","41","원피(모피는 제외한다)와 가죽",2263.5,19950,5511.4,18423,1526
"2026-05","42","가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",919.9,55687,9802.7,323108,-267421
"2026-05","43","모피ㆍ인조모피와 이들의 제품",9.1,345,38.4,8997,-8652
"2026-05","44","목재와 그 제품, 목탄",4129.7,6310,653057.0,217137,-210827
"2026-05","45","코르크(cork)와 그 제품",4.0,59,112.0,450,-391
"2026-05","46","짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",0.9,51,623.2,3243,-3192
